customer_id,basket_id,item_id
0,0,10
0,0,12
0,0,13
0,0,15
0,0,20
0,0,23
0,0,24
0,0,38
0,0,39
0,0,40
0,1,6
0,1,13
0,1,14
0,1,15
0,1,24
0,1,25
0,1,27
0,1,29
0,1,36
0,1,44
0,1,57
0,1,72
0,1,75
0,1,94
0,1,108
0,2,3
0,2,13
0,2,15
0,2,17
0,2,20
0,2,23
0,2,27
0,2,90
0,3,2
0,3,13
0,3,15
0,3,17
0,3,20
0,3,21
0,3,31
0,3,43
0,3,44
0,3,71
0,3,73
0,3,90
0,3,96
0,3,98
0,4,23
0,4,33
0,4,40
0,4,71
0,5,31
0,6,10
0,6,14
0,6,17
0,6,21
0,6,36
0,6,58
0,6,78
0,7,11
0,7,12
0,7,14
0,7,15
0,7,20
0,7,21
0,7,25
0,7,38
0,7,90
0,8,13
0,8,15
0,8,17
0,8,23
0,8,27
0,8,38
0,9,6
0,9,10
0,9,13
0,9,14
0,9,15
0,9,20
0,9,21
0,9,23
0,9,25
0,9,27
0,9,30
0,9,37
0,9,53
0,9,88
0,9,96
0,10,4
0,10,14
0,10,24
0,10,36
0,10,37
0,10,43
0,11,9
0,11,14
0,11,15
0,11,20
0,11,21
0,11,23
0,11,25
0,11,35
0,11,36
0,11,37
0,11,94
0,12,4
0,12,6
0,12,7
0,12,15
0,12,20
0,12,23
0,12,29
0,12,36
0,12,40
0,12,90
0,13,1
0,13,9
0,13,14
0,13,15
0,13,20
0,13,37
0,13,39
0,13,97
0,14,1
0,14,4
0,14,7
0,14,10
0,14,13
0,14,15
0,14,20
0,14,36
0,14,43
0,14,48
0,15,1
0,15,6
0,15,7
0,15,10
0,15,15
0,15,17
0,15,20
0,15,21
0,15,26
0,15,29
0,15,31
0,16,6
0,16,7
0,16,14
0,16,15
0,16,17
0,16,20
0,16,21
0,16,23
0,16,27
0,16,44
0,16,48
0,16,52
0,16,96
0,17,23
0,17,31
0,18,10
0,18,13
0,18,14
0,18,15
0,18,17
0,18,21
0,18,26
0,18,27
0,18,37
0,18,38
0,18,44
0,18,49
0,19,1
0,20,1
0,20,12
0,20,13
0,20,18
0,20,22
0,20,29
0,21,9
0,21,15
0,22,1
0,23,6
0,23,15
0,23,16
0,23,20
0,23,21
0,23,23
0,23,26
0,24,10
0,24,14
0,24,17
0,24,21
0,24,24
0,24,25
0,24,27
0,24,41
0,24,48
0,25,2
0,25,3
0,25,4
0,25,7
0,25,8
0,25,15
0,25,17
0,25,19
0,25,20
0,25,21
0,25,23
0,25,26
0,25,27
0,25,38
0,25,40
0,25,60
0,25,61
0,26,4
0,26,8
0,26,10
0,26,13
0,26,15
0,26,17
0,26,20
0,26,42
0,27,5
0,27,20
0,27,23
0,27,27
0,27,52
0,27,55
0,27,61
0,27,62
0,27,63
0,28,2
0,28,13
0,28,14
0,28,15
0,28,17
0,28,18
0,28,20
0,28,21
0,28,23
0,28,26
0,28,27
0,28,30
0,28,41
0,28,46
0,28,56
0,28,57
0,29,4
0,29,14
0,29,17
0,29,21
0,29,37
0,29,48
0,29,58
0,30,0
0,30,1
0,30,2
0,30,4
0,30,8
0,30,15
0,30,16
0,30,17
0,30,18
0,30,20
0,30,21
0,30,23
0,30,30
0,30,36
0,30,37
0,30,41
0,30,43
0,30,44
0,31,17
0,31,21
0,31,57
0,31,59
0,32,6
0,32,13
0,32,14
0,32,15
0,32,21
0,32,25
0,32,26
0,32,27
0,32,36
0,32,37
0,32,58
0,33,31
0,33,57
0,34,2
0,34,8
0,34,14
0,34,17
0,34,21
0,34,62
0,35,6
0,35,7
0,35,14
0,35,15
0,35,19
0,35,20
0,35,21
0,35,24
0,35,25
0,35,27
0,35,40
0,35,73
0,35,87
0,36,3
0,36,12
0,36,15
0,36,17
0,36,20
0,36,21
0,36,25
0,36,27
0,36,29
0,36,37
0,36,44
0,36,108
0,36,110
0,37,0
0,37,1
0,38,0
0,38,1
0,38,2
0,38,6
0,38,8
0,38,25
0,38,26
0,39,4
0,39,14
0,39,15
0,39,20
0,39,23
0,39,27
0,39,43
0,39,46
0,39,77
0,40,12
0,40,16
0,40,36
0,40,37
0,40,38
0,40,39
0,40,40
0,40,41
0,41,6
0,41,7
0,41,12
0,41,15
0,41,20
0,41,22
0,41,25
0,41,27
0,41,29
0,41,37
0,41,57
0,41,96
0,42,6
0,42,13
0,42,15
0,42,17
0,42,21
0,42,26
0,42,30
0,42,31
0,42,33
0,42,43
0,42,72
0,43,7
0,43,14
0,43,15
0,43,17
0,43,20
0,43,21
0,43,26
0,43,27
0,43,32
0,43,36
0,43,58
0,43,70
0,43,87
0,43,88
0,43,110
0,44,6
0,44,7
0,44,10
0,44,12
0,44,13
0,44,14
0,44,15
0,44,17
0,44,21
0,44,25
0,44,27
0,44,31
0,44,36
0,44,37
0,44,78
0,44,87
0,44,110
0,45,13
0,45,14
0,45,15
0,45,17
0,45,20
0,45,23
